Country,Latitude,Longitude,EconomicStatus,CoastalPopulation,WasteGenerationRate,PlasticWasteStream,InadequatelyManagedWaste,LitteredWaste,WasteGeneration,PlasticWasteGeneration,InadequatelyManagedPlasticWaste,PlasticWasteLittered,MismanagedPlasticWaste,"MismanagedPlasticWaste2010
  [tonnes]7","MismanagedPlasticWaste2025
  [tonnes]7"
Albania,41.15,20.17,LMI,2530533,0.77,9,45,2,1948510,174392,77897,3488,0.03,29705,63051
Algeria,28.03,1.66,UMI,0,1.20,12,58,2,0,2374214,1378693,47484,0.09,520555,1017444
Angola,-11.20,17.87,LMI,3790041,0.48,13,71,2,1819220,235589,166597,4712,0.05,62528,136770
Anguilla,18.22,-63.07,HIC,14561,2.10,12,2,2,30578,3654,68,73,0.01,52,73
Antigua & Barbuda,17.06,-61.80,HIC,66843,5.50,12,6,2,367637,43933,2555,879,0.05,1253,1385
Argentina,-38.42,-63.62,UMI,0,1.22,15,12,2,0,3000178,372261,60004,0.03,157777,320197
Aruba,40.07,45.04,HIC,137910,2.10,12,1,2,289611,34609,326,692,0.01,372,476
Australia,-46.10,169.60,HIC,0,2.23,5,0,2,0,1902591,0,38052,0,13889,24653
Bahamas,25.03,-77.40,HIC,341145,3.25,12,1,2,1108721,132492,1002,2650,0.01,1333,1718
Bahrain,25.93,50.64,HIC,743574,1.10,12,10,2,817931,97743,10033,1955,0.02,4376,9915
Bangladesh,23.68,90.36,LI,0,0.43,8,87,2,0,2422832,2108603,48457,0.03,787327,2210230
Barbados,13.19,-59.54,HIC,276784,4.75,12,4,2,1314724,157110,6400,3142,0.03,3483,3719
Belgium,50.50,4.47,HIC,4747957,1.33,6,0,2,6314783,375730,0,7515,0,2743,5739
Belize,17.19,-88.50,UMI,202429,2.87,6,29,2,580971,34568,9972,691,0.05,3892,6042
Benin,9.31,2.32,LI,3235418,0.54,8,83,2,1747126,138896,115073,2778,0.04,43015,119467
Bermuda,32.32,-64.76,HIC,66966,2.10,12,0,2,140629,16805,0,336,0.01,123,173
Bosnia and Herzegovina,43.92,17.68,UMI,585582,1.20,12,40,2,702698,83972,33813,1679,0.06,12955,20201
Brazil,-14.24,-51.93,UMI,0,1.03,16,9,2,0,0,1046087,245431,0.02,471404,954198
British Virgin Islands,-6.34,71.88,HIC,29674,2.10,12,0,2,62315,7447,3,149,0.01,55,78
Brunei,4.54,114.73,HIC,359871,0.87,3,1,2,313088,9236,71,185,0,93,341
Bulgaria,42.73,25.49,UMI,1002695,1.28,12,31,2,1283450,153372,48273,3067,0.05,18739,25770
Cambodia,12.57,104.99,LI,1391254,0.60,11,87,2,834752,91405,79502,1828,0.06,29686,62834
Cameroon,7.37,12.35,LMI,1986723,0.77,6,81,2,1529777,91022,74107,1820,0.04,27713,71863
Canada,56.13,-106.35,HIC,0,2.33,4,0,2,0,1090326,0,21807,0,7959,14668
Cape Verde,16,-24.01,LMI,522245,0.50,13,74,2,261123,33815,24933,676,0.05,9347,18475
Cayman Islands,19.51,-80.57,HIC,51864,2.10,12,0,2,108914,13015,0,260,0.01,95,134
Chile,-35.68,-71.54,UMI,5621550,1.08,11,7,2,6071274,664805,46304,13296,0.01,21754,42562
China,35.86,104.20,UMI,0,1.10,11,74,2,0,0,0,633308,0.09,8819717,0
Christmas Island,-10.45,105.69,HIC,1402,2.10,12,0,2,2944,352,0,7,0.01,3,4
Cocos Islands,-12.16,96.87,HIC,596,2.10,12,0,2,1252,150,0,3,0.01,1,2
Colombia,4.57,-74.30,UMI,7498563,1.20,12,21,2,8998276,1075294,231024,21506,0.03,92173,179973
Comoros,-11.88,43.87,LI,938595,2.23,9,83,2,2093067,187329,155246,3747,0.17,58032,100870
Congo Rep,-0.23,15.83,LMI,847807,0.53,13,77,2,449338,58189,44769,1164,0.05,16766,39853
Congo DRC,-4.04,21.76,LI,1076056,0.50,9,85,2,538028,48154,40703,963,0.04,15208,43480
Cook Islands,-21.24,-159.78,UMI,20934,1.20,12,36,2,25121,3002,1079,60,0.05,416,784
