Country,Latitude,Longitude,EconomicStatus,CoastalPopulation,WasteGenerationRate,PlasticWasteStream,InadequatelyManagedWaste,LitteredWaste,WasteGeneration,PlasticWasteGeneration,PlasticWasteLittered,MismanagedPlasticWaste2010,MismanagedPlasticWaste2025
Albania,41,20,LMI,2530533,1,9,45,2,1948510,174392,3488,29705,63051
Algeria,28,2,UMI,0,1,12,58,2,19867896,2374214,47484,520555,1017444
Angola,-11,18,LMI,3790041,0,13,71,2,1819220,235589,4712,62528,136770
Anguilla,18,-63,HIC,14561,2,12,2,2,30578,3654,73,52,73
Antigua & Barbuda,17,-62,HIC,66843,6,12,6,2,367637,43933,879,1253,1385
Argentina,-38,-64,UMI,0,1,15,12,2,20068079,3000178,60004,157777,320197
Aruba,40,45,HIC,137910,2,12,1,2,289611,34609,692,372,476
Australia,-46,170,HIC,0,2,5,0,2,38436177,1902591,38052,13889,24653
Bahamas,25,-77,HIC,341145,3,12,1,2,1108721,132492,2650,1333,1718
Bahrain,26,51,HIC,743574,1,12,10,2,817931,97743,1955,4376,9915
Bangladesh,24,90,LI,0,0,8,87,2,30475873,2422832,48457,787327,2210230
Barbados,13,-60,HIC,276784,5,12,4,2,1314724,157110,3142,3483,3719
Belgium,51,4,HIC,4747957,1,6,0,2,6314783,375730,7515,2743,5739
Belize,17,-89,UMI,202429,3,6,29,2,580971,34568,691,3892,6042
Benin,9,2,LI,3235418,1,8,83,2,1747126,138896,2778,43015,119467
Bermuda,32,-65,HIC,66966,2,12,0,2,140629,16805,336,123,173
Bosnia and Herzegovina,44,18,UMI,585582,1,12,40,2,702698,83972,1679,12955,20201
Brazil,-14,-52,UMI,0,1,16,9,2,76937674,0,245431,471404,954198
British Virgin Islands,-6,72,HIC,29674,2,12,0,2,62315,7447,149,55,78
Brunei,5,115,HIC,359871,1,3,1,2,313088,9236,185,93,341
Bulgaria,43,25,UMI,1002695,1,12,31,2,1283450,153372,3067,18739,25770
Cambodia,13,105,LI,1391254,1,11,87,2,834752,91405,1828,29686,62834
Cameroon,7,12,LMI,1986723,1,6,81,2,1529777,91022,1820,27713,71863
Canada,56,-106,HIC,0,2,4,0,2,27603191,1090326,21807,7959,14668
Cape Verde,16,-24,LMI,522245,1,13,74,2,261123,33815,676,9347,18475
Cayman Islands,20,-81,HIC,51864,2,12,0,2,108914,13015,260,95,134
Chile,-36,-72,UMI,5621550,1,11,7,2,6071274,664805,13296,21754,42562
China,36,104,UMI,0,1,11,74,2,289181626,0,633308,8819717,0
Christmas Island,-10,106,HIC,1402,2,12,0,2,2944,352,7,3,4
Cocos Islands,-12,97,HIC,596,2,12,0,2,1252,150,3,1,2
Colombia,5,-74,UMI,7498563,1,12,21,2,8998276,1075294,21506,92173,179973
Comoros,-12,44,LI,938595,2,9,83,2,2093067,187329,3747,58032,100870
Congo Rep,0,16,LMI,847807,1,13,77,2,449338,58189,1164,16766,39853
Congo DRC,-4,22,LI,1076056,1,9,85,2,538028,48154,963,15208,43480
Cook Islands,-21,-160,UMI,20934,1,12,36,2,25121,3002,60,416,784
Costa Rica,10,-84,UMI,2479298,1,19,16,2,3371845,638965,12779,42090,75895
Cote d'Ivoire,8,-6,LMI,6230583,1,13,82,2,4922161,637420,12748,194558,537163
Croatia,45,15,HIC,1602782,2,12,9,2,3365842,402218,8044,16461,19593
Cuba,22,-78,UMI,0,1,11,23,2,9180112,1005222,20104,90630,180454
Cyprus,35,33,HIC,840556,2,12,0,2,1739951,207924,4158,1821,2611
Denmark,56,10,HIC,5376386,2,2,0,2,12580743,245324,4906,1791,4233
Djibouti,12,43,LMI,621744,1,13,73,2,491178,63608,1272,17324,45612
Dominica,15,-61,UMI,70138,1,12,19,2,86971,10393,208,783,1428
Dominican Republic,19,-70,UMI,8232586,1,12,25,2,9879103,1180553,23611,118226,228671
